Organism Group,Name,Taxonomy,Growth Media,External Links
Bacterium,Heyndrickxia coagulans DSM 1,,4531J22,
Bacterium,Paenibacillus macquariensis subsp. macquariensis DSM 2,,1,
Bacterium,Sporosarcina psychrophila DSM 3,,1J22,
Bacterium,Sporosarcina globispora DSM 4,,514J22,
Bacterium,Psychrobacillus insolitus DSM 5,,123,
Bacterium,Peribacillus psychrosaccharolyticus DSM 6,,1514,
Bacterium,Bacillus amyloliquefaciens DSM 7,,1,
Bacterium,Lederbergia lenta DSM 9,,220*J22,
Bacterium,Bacillus subtilis DSM 10,,1J22,
Bacterium,Niallia circulans DSM 11,,1220J22,
Bacterium,Cytobacillus firmus DSM 12,,1*J22,
Bacterium,Bacillus licheniformis DSM 13,,1J22,
Bacterium,Bacillus sp. DSM 14,,1,
Bacterium,Bacillus licheniformis DSM 15,,1,
Bacterium,Geobacillus stearothermophilus DSM 22,,220J22,
Bacterium,Bacillus badius DSM 23,,1J22,
Bacterium,Paenibacillus macerans DSM 24,,1J22J75,
Bacterium,Brevibacillus laterosporus DSM 25,,1J22,
Bacterium,Virgibacillus pantothenticus DSM 26,,1J75,
Bacterium,Bacillus pumilus DSM 27,,1J22,
